LastName,FirstName,DatasetID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObservationID,ObsDataID,TraitID,TraitName,DataID,DataName,OriglName,OrigValueStr,OrigUnitStr,ValueKindName,OrigUncertaintyStr,UncertaintyName,Replicates,StdValue,UnitName,RelUncertaintyPercent,OrigObsDataID,ErrorRisk,Reference,Comment,StdValueStr
Cornelissen,Johannes,37,Sheffield Database,Alnus viridis,2704,Alnus alnobetula,15477,440592,"","",213,Number of replicates,               n,100,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Alnus viridis,2704,Alnus alnobetula,15477,440593,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),0.248,mg,Single,"","","",0.248,mg,"","",4.18168,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Amelanchier lamarckii,3184,Amelanchier lamarckii,15478,440594,"","",213,Number of replicates,               n,25,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Amelanchier lamarckii,3184,Amelanchier lamarckii,15478,440595,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),3.892,mg,Single,"","","",3.892,mg,"","",1.33219,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Arbutus unedo,4447,Arbutus unedo,15479,440596,"","",213,Number of replicates,               n,100,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Arbutus unedo,4447,Arbutus unedo,15479,440597,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),1.996,mg,Single,"","","",1.996,mg,"","",1.80462,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Atriplex halimus,6088,Atriplex halimus,15480,440598,"","",213,Number of replicates,               n,40,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Atriplex halimus,6088,Atriplex halimus,15480,440599,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),0.35,mg,Single,"","","",0.35,mg,"","",2.48143,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Berberis vulgaris,7230,Berberis vulgaris,15481,440600,"","",213,Number of replicates,               n,25,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Berberis vulgaris,7230,Berberis vulgaris,15481,440601,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),8.82,mg,Single,"","","",8.82,mg,"","",1.95396,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Betula nana,7350,Betula nana,15482,440602,"","",213,Number of replicates,               n,100,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Betula nana,7350,Betula nana,15482,440603,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),0.109,mg,Single,"","","",0.109,mg,"","",2.1404,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Betula pendula,7356,Betula pendula,15483,440604,"","",213,Number of replicates,               n,100,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Betula pendula,7356,Betula pendula,15483,440605,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),0.159,mg,Single,"","","",0.159,mg,"","",2.05391,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Buddleja davidii,8761,Buddleja davidii,15484,440606,"","",213,Number of replicates,               n,100,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Buddleja davidii,8761,Buddleja davidii,15484,440607,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),0.0567,mg,Single,"","","",0.0567,mg,"",1669878,2.60159,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Buxus sempervirens,8964,Buxus sempervirens,15485,440608,"","",213,Number of replicates,               n,100,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Buxus sempervirens,8964,Buxus sempervirens,15485,440609,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),9.12,mg,Single,"","","",9.12,mg,"","",1.16709,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Calluna vulgaris,9621,Calluna vulgaris,15486,440610,"","",213,Number of replicates,               n,50,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Calluna vulgaris,9621,Calluna vulgaris,15486,440611,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),0.028,mg,Single,"","","",0.028,mg,"","",2.11328,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Carpinus betulus,10773,Carpinus betulus,15487,440612,"","",213,Number of replicates,               n,25,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Carpinus betulus,10773,Carpinus betulus,15487,440613,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),2.87,mg,Single,"","","",2.87,mg,"","",7.23625,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Castanea sativa,11068,Castanea sativa,15488,440614,"","",213,Number of replicates,               n,40,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Castanea sativa,11068,Castanea sativa,15488,440615,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),1433,mg,Single,"","","",1433,mg,"","",2.59204,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Celtis australis,11471,Celtis australis,15489,440616,"","",213,Number of replicates,               n,25,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Celtis australis,11471,Celtis australis,15489,440617,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),222.2,mg,Single,"","","",222.2,mg,"","",1.85419,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Cistus albidus,13138,Cistus albidus,15490,440618,"","",213,Number of replicates,               n,100,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Cistus albidus,13138,Cistus albidus,15490,440619,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),1,mg,Single,"","","",1,mg,"",57479103,0.463143,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Cistus clusii,13139,Cistus clusii,15491,440620,"","",213,Number of replicates,               n,100,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Cistus clusii,13139,Cistus clusii,15491,440621,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),0.23,mg,Single,"","","",0.23,mg,"","",2.10688,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Cistus laurifolius,13146,Cistus laurifolius,15492,440622,"","",213,Number of replicates,               n,100,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Cistus laurifolius,13146,Cistus laurifolius,15492,440623,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),0.55,mg,Single,"","","",0.55,mg,"","",2.63806,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Clematis vitalba,13413,Clematis vitalba,15493,440624,"","",213,Number of replicates,               n,100,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Clematis vitalba,13413,Clematis vitalba,15493,440625,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),1.18,mg,Single,"","","",1.18,mg,"","",2.0158,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Cornus sanguinea,14595,Cornus sanguinea,15494,440626,"","",213,Number of replicates,               n,57,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Cornus sanguinea,14595,Cornus sanguinea,15494,440627,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),35.75,mg,Single,"","","",35.75,mg,"",1670317,1.18739,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Corylus avellana,14688,Corylus avellana,15495,440628,"","",213,Number of replicates,               n,50,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Corylus avellana,14688,Corylus avellana,15495,440629,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),691,mg,Single,"","","",691,mg,"","",4.53014,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Crataegus laevigata,15080,Crataegus laevigata,15496,440630,"","",213,Number of replicates,               n,25,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Crataegus laevigata,15080,Crataegus laevigata,15496,440631,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),154,mg,Single,"","","",154,mg,"","",2.42971,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Crataegus monogyna,15090,Crataegus monogyna,15497,440632,"","",213,Number of replicates,               n,50,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Crataegus monogyna,15090,Crataegus monogyna,15497,440633,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),49.62,mg,Single,"","","",49.62,mg,"","",1.56676,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Cytisus scoparius,16641,Cytisus scoparius,15498,440634,"","",213,Number of replicates,               n,50,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Cytisus scoparius,16641,Cytisus scoparius,15498,440635,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),9.8,mg,Single,"","","",9.8,mg,"","",0.618662,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Daphne gnidium,16954,Daphne gnidium,15499,440636,"","",213,Number of replicates,               n,30,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Daphne gnidium,16954,Daphne gnidium,15499,440637,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),6.75,mg,Single,"","","",6.75,mg,"","",1.20122,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Daphne mezereum,16960,Daphne mezereum,15500,440638,"","",213,Number of replicates,               n,62,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Daphne mezereum,16960,Daphne mezereum,15500,440639,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),43.9,mg,Single,"","","",43.9,mg,"","",1.72891,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Dryas octopetala,19375,Dryas octopetala,15501,440640,"","",213,Number of replicates,               n,100,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Dryas octopetala,19375,Dryas octopetala,15501,440641,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),0.372,mg,Single,"","","",0.372,mg,"","",2.16167,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Empetrum nigrum,20484,Empetrum nigrum,15502,440642,"","",213,Number of replicates,               n,100,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Empetrum nigrum,20484,Empetrum nigrum,15502,440643,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),0.904,mg,Single,"","","",0.904,mg,"","",1.16246,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Erica cinerea,21555,Erica cinerea,15503,440644,"","",213,Number of replicates,               n,100,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Erica cinerea,21555,Erica cinerea,15503,440645,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),0.047,mg,Single,"","","",0.047,mg,"","",3.25659,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Euonymus europaeus,23260,Euonymus europaeus,15504,440646,"","",213,Number of replicates,               n,37,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Euonymus europaeus,23260,Euonymus europaeus,15504,440647,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),9.42,mg,Single,"","","",9.42,mg,"","",4.00421,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Fagus sylvatica,23906,Fagus sylvatica,15505,440648,"","",213,Number of replicates,               n,20,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Fagus sylvatica,23906,Fagus sylvatica,15505,440649,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),158,mg,Single,"","","",158,mg,"","",1.71922,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Fagus sylvatica,23906,Fagus sylvatica,15505,440650,"","",183,Seed mass comment,Comment,Slovenia,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",origin of samplings,
Cornelissen,Johannes,37,Sheffield Database,Frangula alnus,25217,Frangula alnus,15506,440651,"","",213,Number of replicates,               n,47,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Frangula alnus,25217,Frangula alnus,15506,440652,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),15.14,mg,Single,"","","",15.14,mg,"","",1.75125,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Fraxinus angustifolia,25240,Fraxinus angustifolia,15507,440653,"","",213,Number of replicates,               n,33,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
Cornelissen,Johannes,37,Sheffield Database,Fraxinus angustifolia,25240,Fraxinus angustifolia,15507,440654,26,Seed dry mass,30,Seed dry mass,mean dry wght (mg),51.85,mg,Single,"","","",51.85,mg,"",57488397,1.27852,"Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",seedlings in strict sense,
Cornelissen,Johannes,37,Sheffield Database,Fraxinus excelsior,25247,Fraxinus excelsior,15508,440655,"","",213,Number of replicates,               n,25,"","","","","","","","","","","Cornelissen, J. H. C., P. C. Diez, and R. Hunt. 1996. Seedling growth, allocation and leaf attributes in a wide range of woody plant species and types. Journal of Ecology 84:755-765.",number of measured seeds,
